bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
1,0.013446553607209935,34,24,9,19,78,90
2,0.015139588488505829,34,22,11,23,119,134
3,0.022892653089056553,34,23,10,21,103,112
4,0.013398731251293806,34,19,10,25,108,176
5,0.014089047241480038,34,24,8,18,88,118
6,0.031199766835862362,34,22,10,22,106,136
7,0.011653437358683762,34,21,10,23,134,206
8,0.006417819767164351,34,19,10,25,115,172
9,0.012826924882226476,34,20,9,23,112,198
10,0.020021454457765167,34,20,10,24,118,190
11,0.02794302359201492,34,23,8,19,103,150
12,0.01754671504569187,34,21,9,22,114,196
13,0.01700252959705523,34,21,8,21,111,190
14,0.01215596866435234,34,22,11,23,134,146
15,0.014496386025590655,34,21,8,21,83,148
16,0.01509755081108434,34,21,9,22,112,168
17,0.031782022571119034,34,22,8,20,139,214
18,0.013663686997531885,34,22,9,21,80,110
19,0.02292298417428261,34,22,8,20,133,248
20,0.02437211549561482,34,22,10,22,127,160
21,0.011581578909709837,34,19,12,27,139,184
22,0.011439548894368518,34,20,10,24,106,170
23,0.012087122151879806,34,26,7,15,74,86
24,0.013396624082367754,34,19,11,26,166,278
25,0.012176406626878366,34,22,9,21,87,136
26,0.018066545273610568,34,22,7,19,103,232
27,0.006950119065299465,34,21,11,24,144,180
28,0.009516277774420025,34,20,10,24,166,326
29,0.03184083082875311,34,23,8,19,104,156
30,0.022078428227462997,34,23,9,20,98,116
31,0.014791024739213426,34,22,10,22,125,152
32,0.016932883388316222,34,24,10,20,82,82
33,0.012452482619549041,34,24,9,19,94,106
34,0.017284627397476233,34,24,10,20,128,128
35,0.009128545895253345,34,19,9,24,138,324
36,0.00937453517604682,34,21,10,23,102,138
37,0.00834896803702638,34,21,10,23,104,140
38,0.012833987839731078,34,24,8,18,90,120
39,0.025895307151121226,34,24,10,20,120,120
40,0.028954820475079343,34,20,8,22,89,180
41,0.029716226551618662,34,21,9,22,141,234
42,0.02214723584044085,34,21,11,24,121,160
43,0.025067910384276863,34,21,9,22,137,218
44,0.008894698891765696,34,21,10,23,125,228
45,0.01418830941060311,34,24,9,19,90,102
46,0.02241320049788062,34,21,9,22,100,160
47,0.01907815018773032,34,21,7,20,109,210
48,0.015547031817566039,34,20,8,22,103,180
49,0.01842648149764637,34,24,7,17,129,242
50,0.016833229374438506,34,21,8,21,108,210
51,0.0301416156928141,34,22,9,21,119,170
52,0.013518885085911161,34,19,9,24,89,166
53,0.03217292035843143,34,22,9,21,118,166
54,0.014392631734747082,34,20,8,22,125,228
55,0.014903476586160688,34,27,7,14,72,72
56,0.025790949586954444,34,20,8,22,118,244
57,0.03291030921689566,34,20,10,24,110,174
58,0.025644034344125814,34,19,10,25,142,226
59,0.010648320348409943,34,18,11,27,139,252
60,0.02951681919238852,34,24,7,17,75,120
61,0.01713868148740046,34,25,8,17,92,104
62,0.01991432660360467,34,21,9,22,145,252
63,0.012532988752480795,34,21,10,23,135,198
64,0.021502136521399973,34,22,11,23,125,140
65,0.019476395542982833,34,17,9,26,132,278
66,0.0142923090262039,34,23,9,20,131,188
67,0.03391287633066046,34,23,8,19,101,164
68,0.02904691912411366,34,22,10,22,136,178
69,0.008830031594260879,34,19,9,24,102,190
70,0.019842753121286125,34,22,8,20,113,170
71,0.017234098689233507,34,21,10,23,118,172
72,0.025043760606307044,34,24,8,18,92,134
73,0.005320925724071491,34,21,7,20,91,182
74,0.02012393629688576,34,24,9,19,95,104
75,0.009047231722420088,34,23,8,19,95,140
76,0.016975422442722418,34,21,10,23,98,134
77,0.01888360305149213,34,20,9,23,92,160
78,0.013406924274762741,34,23,8,19,69,96
79,0.014289851944326422,34,22,10,22,110,134
80,0.017694716425081906,34,20,10,24,109,172
81,0.02548460001893475,34,22,7,19,114,248
82,0.039256282769562244,34,21,9,22,114,178
83,0.014053353381547166,34,21,11,24,104,146
84,0.0188125611893668,34,21,9,22,106,166
85,0.015697593547778693,34,23,7,18,77,128
86,0.02648283342695456,34,25,8,17,104,116
87,0.032043786786823236,34,19,9,24,129,232
88,0.011747176498221209,34,24,6,16,80,146
89,0.008224215439275623,34,21,10,23,120,174
90,0.014263912463654872,34,20,10,24,151,270
91,0.013350001581908966,34,20,9,23,121,242
92,0.01583400880712091,34,22,11,23,122,134
93,0.012368308133815863,34,22,7,19,106,230
94,0.011088787489810334,34,21,10,23,119,176
95,0.013402943264202414,34,21,10,23,102,162
96,0.010230452611409924,34,20,11,25,113,152
97,0.010591672593013114,34,19,10,25,135,260
98,0.01699709061836488,34,23,8,19,84,114
99,0.025353810892619497,34,21,6,19,91,198
100,0.027610326025599943,34,21,10,23,112,148
101,0.01971230514006536,34,23,8,19,110,182
102,0.011639899673785228,34,26,7,15,73,82
103,0.025834620789896005,34,21,12,25,128,140
104,0.009319097412539099,34,20,11,25,122,158
105,0.010029223075293386,34,20,8,22,140,270
106,0.0211906991780704,34,23,10,21,118,148
107,0.012883049896981632,34,22,9,21,88,140
108,0.005825249226597773,34,21,10,23,133,202
109,0.012164583681654111,34,24,8,18,102,134
110,0.011969660558331596,34,21,9,22,93,144
111,0.02851312281858282,34,24,9,19,91,106
112,0.018708845769129658,34,20,13,27,101,110
113,0.0071244100697393335,34,21,8,21,116,194
114,0.021245439551998643,34,20,11,25,107,146
115,0.013051647188715106,34,24,7,17,92,128
116,0.03001086733237468,34,21,10,23,96,156
117,0.011915417146885921,34,23,9,20,106,142
118,0.011594355054387603,34,25,8,17,92,104
119,0.006529098956941953,34,22,11,23,123,138
120,0.013757319062766594,34,23,9,20,92,116
121,0.014360866844528305,34,21,10,23,135,204
122,0.01720712328458955,34,20,8,22,100,188
123,0.016977063249512907,34,18,12,28,141,192
124,0.03075250007799958,34,22,7,19,77,164
