bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
1,0.014963499463440208,41,31,9,24,77,136
2,0.015379182568630162,45,30,13,29,104,128
3,0.022690769923948285,40,29,11,28,126,192
4,0.008908537313187838,46,31,10,25,83,128
5,0.016812430507350797,44,29,13,30,129,200
6,0.012113179192429109,41,34,9,21,78,110
7,0.019072718931826743,41,29,11,28,98,156
8,0.016049793162583356,45,29,12,29,129,192
9,0.013013559374312159,46,32,12,26,114,150
10,0.014397395704125411,44,28,11,29,113,196
11,0.013212189150442376,44,31,14,29,136,148
12,0.020151825305866594,44,35,9,20,100,142
13,0.010154000794556268,46,32,10,24,108,172
14,0.015271219188422738,44,30,10,26,101,162
15,0.016280453944299,45,30,14,30,128,146
16,0.009263659649031378,45,30,11,27,122,202
17,0.01431842702349384,46,29,13,30,141,188
18,0.012340903332418302,44,28,10,28,114,224
19,0.010486654827323638,45,30,14,30,144,186
20,0.009712597457312858,43,28,13,31,128,200
21,0.022239621367498325,43,27,11,30,96,210
22,0.014488324032932792,43,28,11,29,110,182
23,0.01950413217441993,42,26,15,35,132,194
24,0.02708436300054272,44,28,14,32,143,218
25,0.015873811860382947,44,30,13,29,108,156
26,0.01470196530243087,44,28,12,30,130,220
27,0.021412611133382053,45,30,12,28,113,146
28,0.02457374435318059,46,30,11,27,110,158
29,0.0126775922007661,46,28,12,30,126,200
30,0.011847225625340838,44,32,11,25,115,160
31,0.024505680597964236,43,29,11,28,114,204
32,0.013714155478419407,46,29,12,29,149,204
33,0.014549793779300518,44,30,14,30,142,158
34,0.012982704988490058,44,28,12,30,100,154
35,0.014156810936796216,45,27,11,30,139,258
36,0.011594607420957637,44,30,13,29,109,142
37,0.012541471793928099,46,24,14,36,122,242
38,0.025638821691920582,43,30,13,29,95,122
39,0.016391642213392586,45,29,12,29,106,172
40,0.01436499384375689,45,34,10,22,77,92
41,0.013363571032238373,44,29,12,29,123,174
42,0.022408590055653044,46,28,11,29,139,226
43,0.01744544072810658,44,32,11,25,117,174
44,0.015209944895758724,42,29,14,31,105,126
45,0.007571629621049444,40,27,13,32,107,160
46,0.016049793162583356,45,26,16,36,156,196
47,0.011827667598670127,44,30,12,28,143,194
48,0.024640775781298134,46,28,13,31,125,200
49,0.011114329730810224,44,29,12,29,127,176
50,0.01779788506841011,44,29,12,29,95,134
51,0.01832694889935918,45,29,13,30,146,206
52,0.013241145506320311,44,30,12,28,121,192
53,0.02254494136992749,43,28,15,33,173,224
54,0.018919541434434566,42,31,10,25,97,202
55,0.01820807634099172,44,28,13,31,146,208
56,0.013904046123074644,43,27,15,34,143,200
57,0.023900074494852444,44,30,12,28,118,172
58,0.01299809424257714,43,31,13,28,127,148
59,0.010401244953191648,42,26,10,30,103,230
60,0.015308832147723397,43,30,10,26,94,164
61,0.018415290272784463,45,29,11,28,99,156
62,0.021464689837623216,45,29,10,27,151,304
63,0.011258233038658153,45,25,15,36,186,334
64,0.028947632033053936,45,29,13,30,167,230
65,0.01316294685292245,44,36,7,17,94,130
66,0.016026878739802075,45,29,11,28,102,156
67,0.010750708415896766,42,24,14,36,139,264
68,0.01787104736308103,44,31,13,28,143,176
69,0.01721484292482335,42,30,14,30,99,108
70,0.016244864352647586,46,28,12,30,135,210
71,0.011864825464077716,43,29,14,31,127,162
72,0.02066622134328567,45,24,12,34,135,288
73,0.012812333344967342,45,31,9,24,144,290
74,0.00923095050094768,45,31,10,25,99,156
75,0.0196662070744002,43,34,11,23,88,94
76,0.01217358904557541,45,31,12,27,108,142
77,0.018272426968341582,45,31,11,26,112,154
78,0.012897857877762986,45,31,14,29,156,186
79,0.01777667789113684,44,29,12,29,133,228
80,0.015404155008675806,41,31,11,26,88,136
81,0.01310503377341421,43,31,12,27,125,182
82,0.021565896766523415,43,32,11,25,94,116
83,0.014604533936830158,43,34,12,24,84,84
84,0.010046964451885805,44,29,11,28,107,182
85,0.012211123078541275,43,26,13,33,175,308
86,0.019944610411504093,44,25,13,34,128,204
87,0.008894698891765696,43,29,12,29,122,216
88,0.011416289030596494,44,31,11,26,109,172
89,0.011020804172606521,44,28,13,31,155,270
90,0.018917839507502296,44,32,14,28,112,112
91,0.025480254650771327,42,26,13,33,103,156
92,0.011933780719725881,42,27,15,34,158,218
93,0.0167313703196423,44,29,13,30,130,170
94,0.019437072986066423,44,29,13,30,139,226
95,0.01413951015929607,43,33,11,24,98,130
96,0.020980107402401384,44,31,12,27,106,142
97,0.024631566865230742,42,32,11,25,133,190
98,0.02524804780424242,45,32,11,25,97,130
99,0.021283138585217076,45,29,12,29,106,168
100,0.01621690668885846,45,30,13,29,138,166
101,0.021943105760983142,44,27,12,31,105,174
102,0.017262289090395996,43,29,11,28,145,296
103,0.013208037234462497,45,32,13,27,98,110
104,0.02561346746260562,45,28,12,30,135,222
105,0.012532988752480795,46,30,14,30,120,150
106,0.010811989393817091,44,29,12,29,133,246
107,0.01805435682047387,45,32,12,26,104,128
108,0.012509276362126731,43,31,11,26,138,242
109,0.014520268822003031,41,29,12,29,116,156
110,0.011633758682172979,44,28,15,33,151,202
111,0.01821647761171611,44,26,13,33,126,230
112,0.015357745431584913,46,29,13,30,127,212
113,0.015797169872567768,43,30,14,30,131,140
114,0.02362699044001175,44,30,15,31,108,114
115,0.013840941308827424,44,29,10,27,109,198
116,0.0205094822713225,45,30,12,28,98,140
117,0.017941610062369877,44,30,10,26,164,330
118,0.008642473381475488,46,29,11,28,119,200
119,0.02287508401919866,43,24,13,35,119,220
120,0.012349658685565063,44,31,12,27,118,148
121,0.01896606777251443,45,28,12,30,112,188
122,0.007884738336876362,45,30,13,29,146,216
123,0.014202746173260769,46,27,10,29,142,326
124,0.017720497380036206,45,29,12,29,122,206
125,0.01004017548482207,43,29,11,28,108,168
126,0.013603233125622782,43,28,14,32,130,188
127,0.013518885085911161,44,31,13,28,133,166
128,0.016038335951192723,46,30,11,27,144,260
129,0.009613253761639438,44,29,14,31,105,138
130,0.017600319693477307,41,30,10,26,95,158
131,0.009330153806405395,43,30,13,29,142,196
132,0.020953645371304896,45,27,14,33,139,214
133,0.01545809208417434,41,29,12,29,84,124
134,0.022160001995985334,45,27,15,34,144,178
135,0.0234932144518194,46,30,12,28,108,162
136,0.01002787958981971,45,31,10,25,140,236
137,0.026066706104223902,45,28,10,28,143,296
138,0.019725835930212265,46,26,12,32,111,198
139,0.015204816114149228,42,30,12,28,104,134
140,0.024444627141795593,43,31,13,28,88,112
141,0.016280453944299,43,33,10,23,126,196
142,0.016971154904189722,44,31,11,26,123,180
143,0.009547104096852124,46,30,13,29,112,142
144,0.009595218669781455,43,32,12,26,122,170
145,0.021504558490958094,45,27,15,34,118,154
146,0.011869191704669168,42,26,14,34,119,206
147,0.010378537181727817,44,29,13,30,104,156
148,0.011792578157461042,43,28,13,31,101,160
149,0.016638014406221063,42,27,14,33,116,162
150,0.016214895945886376,44,28,12,30,120,174
151,0.02333387748216872,46,25,12,33,144,330
152,0.017844622281514937,44,25,14,35,151,300
153,0.01798965475867094,43,25,17,38,144,220
154,0.012224173801380557,44,31,10,25,144,278
155,0.011820893087295621,45,30,11,27,124,208
156,0.014323444520114845,45,35,9,20,81,108
157,0.013443054792838076,44,30,12,28,114,156
158,0.019179912752151716,46,31,11,26,128,224
159,0.015569069744396813,44,32,10,24,97,192
160,0.02047573643739943,43,24,12,34,128,294
161,0.014338112169153726,44,31,10,25,147,222
162,0.009155521838262556,44,31,14,29,140,164
163,0.03153569368248381,43,28,12,30,166,460
164,0.016402913151970677,42,26,12,32,108,170
165,0.01638850351935038,46,27,11,30,111,206
166,0.025906022140839785,45,27,13,32,129,198
167,0.021345139214156435,46,30,13,29,125,156
168,0.018749529478188753,45,28,13,31,159,256
169,0.01925305467133874,44,33,10,23,111,150
170,0.004560822365843015,45,27,15,34,162,246
171,0.01669675449240319,45,29,9,26,81,172
172,0.02611974688440745,44,33,10,23,112,172
173,0.011391654548324123,41,29,15,32,124,142
174,0.01630855750538661,44,33,12,25,116,140
175,0.017013867525076908,45,32,10,24,93,156
