bootstrap_replicate,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
1,31,9,24,77,136
2,30,13,29,104,128
3,29,11,28,126,192
4,31,10,25,83,128
5,29,13,30,129,200
6,34,9,21,78,110
7,29,11,28,98,156
8,29,12,29,129,192
9,32,12,26,114,150
10,28,11,29,113,196
11,31,14,29,136,148
12,35,9,20,100,142
13,32,10,24,108,172
14,30,10,26,101,162
15,30,14,30,128,146
16,30,11,27,122,202
17,29,13,30,141,188
18,28,10,28,114,224
19,30,14,30,144,186
20,28,13,31,128,200
21,27,11,30,96,210
22,28,11,29,110,182
23,26,15,35,132,194
24,28,14,32,143,218
25,30,13,29,108,156
26,28,12,30,130,220
27,30,12,28,113,146
28,30,11,27,110,158
29,28,12,30,126,200
30,32,11,25,115,160
31,29,11,28,114,204
32,29,12,29,149,204
33,30,14,30,142,158
34,28,12,30,100,154
35,27,11,30,139,258
36,30,13,29,109,142
37,24,14,36,122,242
38,30,13,29,95,122
39,29,12,29,106,172
40,34,10,22,77,92
41,29,12,29,123,174
42,28,11,29,139,226
43,32,11,25,117,174
44,29,14,31,105,126
45,27,13,32,107,160
46,26,16,36,156,196
47,30,12,28,143,194
48,28,13,31,125,200
49,29,12,29,127,176
50,29,12,29,95,134
51,29,13,30,146,206
52,30,12,28,121,192
53,28,15,33,173,224
54,31,10,25,97,202
55,28,13,31,146,208
56,27,15,34,143,200
57,30,12,28,118,172
58,31,13,28,127,148
59,26,10,30,103,230
60,30,10,26,94,164
61,29,11,28,99,156
62,29,10,27,151,304
63,25,15,36,186,334
64,29,13,30,167,230
65,36,7,17,94,130
66,29,11,28,102,156
67,24,14,36,139,264
68,31,13,28,143,176
69,30,14,30,99,108
70,28,12,30,135,210
71,29,14,31,127,162
72,24,12,34,135,288
73,31,9,24,144,290
74,31,10,25,99,156
75,34,11,23,88,94
76,31,12,27,108,142
77,31,11,26,112,154
78,31,14,29,156,186
79,29,12,29,133,228
80,31,11,26,88,136
81,31,12,27,125,182
82,32,11,25,94,116
83,34,12,24,84,84
84,29,11,28,107,182
85,26,13,33,175,308
86,25,13,34,128,204
87,29,12,29,122,216
88,31,11,26,109,172
89,28,13,31,155,270
90,32,14,28,112,112
91,26,13,33,103,156
92,27,15,34,158,218
93,29,13,30,130,170
94,29,13,30,139,226
95,33,11,24,98,130
96,31,12,27,106,142
97,32,11,25,133,190
98,32,11,25,97,130
99,29,12,29,106,168
100,30,13,29,138,166
101,27,12,31,105,174
102,29,11,28,145,296
103,32,13,27,98,110
104,28,12,30,135,222
105,30,14,30,120,150
106,29,12,29,133,246
107,32,12,26,104,128
108,31,11,26,138,242
109,29,12,29,116,156
110,28,15,33,151,202
111,26,13,33,126,230
112,29,13,30,127,212
113,30,14,30,131,140
114,30,15,31,108,114
115,29,10,27,109,198
116,30,12,28,98,140
117,30,10,26,164,330
118,29,11,28,119,200
119,24,13,35,119,220
120,31,12,27,118,148
121,28,12,30,112,188
122,30,13,29,146,216
123,27,10,29,142,326
124,29,12,29,122,206
125,29,11,28,108,168
126,28,14,32,130,188
127,31,13,28,133,166
128,30,11,27,144,260
129,29,14,31,105,138
130,30,10,26,95,158
131,30,13,29,142,196
132,27,14,33,139,214
133,29,12,29,84,124
134,27,15,34,144,178
135,30,12,28,108,162
136,31,10,25,140,236
137,28,10,28,143,296
138,26,12,32,111,198
139,30,12,28,104,134
140,31,13,28,88,112
141,33,10,23,126,196
142,31,11,26,123,180
143,30,13,29,112,142
144,32,12,26,122,170
145,27,15,34,118,154
146,26,14,34,119,206
147,29,13,30,104,156
148,28,13,31,101,160
149,27,14,33,116,162
150,28,12,30,120,174
151,25,12,33,144,330
152,25,14,35,151,300
153,25,17,38,144,220
154,31,10,25,144,278
155,30,11,27,124,208
156,35,9,20,81,108
157,30,12,28,114,156
158,31,11,26,128,224
159,32,10,24,97,192
160,24,12,34,128,294
161,31,10,25,147,222
162,31,14,29,140,164
163,28,12,30,166,460
164,26,12,32,108,170
165,27,11,30,111,206
166,27,13,32,129,198
167,30,13,29,125,156
168,28,13,31,159,256
169,33,10,23,111,150
170,27,15,34,162,246
171,29,9,26,81,172
172,33,10,23,112,172
173,29,15,32,124,142
174,33,12,25,116,140
175,32,10,24,93,156
176,29,13,30,137,194
177,30,10,26,116,202
178,28,13,31,123,220
179,28,12,30,111,218
180,26,13,33,135,252
181,26,16,36,161,230
182,30,11,27,107,166
183,28,12,30,148,234
184,29,12,29,106,166
185,29,13,30,131,176
186,30,11,27,98,162
187,27,11,30,143,290
188,31,13,28,103,112
189,29,15,32,154,172
190,25,13,34,135,230
191,29,12,29,124,178
192,33,7,20,82,174
193,30,12,28,91,128
194,30,13,29,132,168
195,26,12,32,117,230
196,30,11,27,94,142
197,25,15,36,159,266
198,32,12,26,109,148
199,31,11,26,113,162
200,32,12,26,109,130
201,25,14,35,142,236
202,26,16,36,175,250
203,27,12,31,135,228
204,28,14,32,117,170
205,30,14,30,103,118
206,31,11,26,114,180
207,28,12,30,120,202
208,31,11,26,142,202
209,32,11,25,86,104
210,31,13,28,121,142
211,31,11,26,142,240
212,30,15,31,120,132
213,30,11,27,111,178
214,24,14,36,170,284
215,27,13,32,129,196
216,28,12,30,118,208
217,28,15,33,146,182
218,27,14,33,167,242
219,29,10,27,109,218
220,30,12,28,118,178
221,29,8,25,94,242
222,28,12,30,113,194
223,31,14,29,129,138
224,36,8,18,51,66
225,28,14,32,124,166
226,26,11,31,135,258
227,26,12,32,108,216
228,31,13,28,101,116
229,27,15,34,124,158
230,24,16,38,141,220
231,29,12,29,110,162
232,28,15,33,151,184
233,27,13,32,144,196
234,31,11,26,112,160
235,31,11,26,116,182
236,30,13,29,111,132
237,29,13,30,137,238
238,32,12,26,93,108
239,28,13,31,129,192
240,29,11,28,123,236
241,26,13,33,177,338
242,31,13,28,117,132
243,32,10,24,120,196
244,31,13,28,85,100
245,33,9,22,100,226
246,29,12,29,124,218
247,24,14,36,159,324
248,28,12,30,112,176
249,30,13,29,133,166
250,28,15,33,150,174
251,27,12,31,153,298
252,30,10,26,139,424
253,32,11,25,113,178
254,29,12,29,100,166
255,30,13,29,121,184
256,27,14,33,147,216
257,26,13,33,124,212
258,29,12,29,163,268
259,28,11,29,111,202
260,29,11,28,116,186
261,31,12,27,94,130
262,32,10,24,90,138
263,30,11,27,102,182
264,31,13,28,91,106
265,28,10,28,107,200
266,28,12,30,119,204
267,27,14,33,158,232
268,27,14,33,135,198
269,25,13,34,152,282
270,33,7,20,84,152
271,27,11,30,153,310
272,26,14,34,169,272
273,31,10,25,126,212
274,25,12,33,131,238
275,30,14,30,107,128
276,29,12,29,124,200
277,29,15,32,102,126
278,30,11,27,118,184
279,26,12,32,133,264
280,30,11,27,114,202
281,30,11,27,121,234
282,32,11,25,163,276
283,30,13,29,131,176
284,27,12,31,153,246
285,30,12,28,109,194
286,26,15,35,141,198
287,32,12,26,105,126
288,29,14,31,144,186
289,32,12,26,91,118
290,27,13,32,156,248
291,31,12,27,116,202
292,29,11,28,122,224
293,31,10,25,146,264
294,28,13,31,155,270
295,29,14,31,117,148
296,30,13,29,124,148
297,32,12,26,96,114
298,31,13,28,116,140
299,29,11,28,110,162
300,28,12,30,168,328
301,31,11,26,141,300
302,31,13,28,115,130
303,29,11,28,114,174
304,30,14,30,153,180
305,27,12,31,118,210
306,30,13,29,121,172
307,31,12,27,154,232
308,32,10,24,125,188
309,29,13,30,144,216
310,27,12,31,123,202
311,28,12,30,106,180
312,29,11,28,98,176
313,30,12,28,95,122
314,30,12,28,131,206
315,27,13,32,141,198
316,32,10,24,101,132
317,32,10,24,121,166
318,29,12,29,120,176
319,30,13,29,130,168
320,29,14,31,101,118
321,31,11,26,96,128
322,28,13,31,130,182
323,30,13,29,112,136
324,27,12,31,137,242
325,29,14,31,135,180
326,33,9,22,90,158
327,30,13,29,123,174
328,31,13,28,80,92
329,28,15,33,133,154
330,27,14,33,108,138
331,27,13,32,146,230
332,31,12,27,81,114
333,33,10,23,116,158
334,28,14,32,140,176
335,33,11,24,95,134
336,26,11,31,130,310
337,30,14,30,146,188
338,32,11,25,103,176
339,33,10,23,81,106
340,29,12,29,135,242
341,30,11,27,127,234
342,27,13,32,112,188
343,27,14,33,111,168
344,31,12,27,107,158
345,30,14,30,145,172
346,29,9,26,74,134
347,27,13,32,110,166
348,31,9,24,117,216
349,28,14,32,106,154
350,26,12,32,176,370
351,27,12,31,129,234
352,29,15,32,135,156
353,30,11,27,80,134
354,30,10,26,94,152
355,31,12,27,143,192
356,32,12,26,125,164
357,29,11,28,119,220
358,32,12,26,107,146
359,26,12,32,172,300
360,31,13,28,95,116
361,32,10,24,109,164
362,32,12,26,104,146
363,30,12,28,92,128
364,31,11,26,120,198
365,29,11,28,116,190
366,32,11,25,109,148
367,30,13,29,107,128
368,29,12,29,105,170
369,29,13,30,101,128
370,31,12,27,122,156
371,30,12,28,127,196
372,28,16,34,141,168
373,30,12,28,116,144
374,29,15,32,138,150
375,31,12,27,107,134
376,33,10,23,126,198
377,30,12,28,98,148
378,27,12,31,109,208
379,32,11,25,141,168
380,30,13,29,122,198
381,30,14,30,140,182
382,32,11,25,94,118
383,26,14,34,199,404
384,30,11,27,90,144
385,31,10,25,95,138
386,28,12,30,126,214
387,29,10,27,100,174
388,30,10,26,129,244
389,27,11,30,135,296
390,29,10,27,111,222
391,31,12,27,125,176
392,32,12,26,95,110
393,28,9,27,105,244
394,30,11,27,88,136
395,29,10,27,76,146
396,29,12,29,119,162
397,28,12,30,120,186
398,32,11,25,108,150
399,28,14,32,116,164
400,27,12,31,77,128
401,30,12,28,101,140
402,28,11,29,125,236
403,32,12,26,104,152
404,29,10,27,75,136
405,31,11,26,95,146
406,30,15,31,135,150
407,26,15,35,157,238
408,31,12,27,138,198
409,34,9,21,81,114
410,31,11,26,117,176
411,28,12,30,102,170
412,28,11,29,89,162
413,29,14,31,124,172
414,29,13,30,141,248
415,28,13,31,95,122
416,24,16,38,149,206
417,27,13,32,172,256
418,29,11,28,106,158
419,25,15,36,170,292
420,29,12,29,127,186
421,29,14,31,98,122
422,29,11,28,126,190
423,31,10,25,102,184
424,27,14,33,128,190
425,32,12,26,105,126
426,27,14,33,185,322
427,29,15,32,147,168
428,29,11,28,104,164
429,29,11,28,112,194
430,29,14,31,147,192
431,25,13,34,124,222
432,30,11,27,141,228
433,32,11,25,127,196
434,28,13,31,128,196
435,30,13,29,106,136
