analysis,omitted_patient,n_patients,n_samples_contributing,median_between_minus_within_distance,ci95_low,ci95_high,directional_proportion_positive,wilcoxon_two_sided_p
primary_bray_same_or_adjacent_visit,106,43,188,0.017992925893718467,0.009494854730739799,0.026235445240973196,0.8372093023255814,7.5178004408371635e-06
primary_bray_same_or_adjacent_visit,107,43,191,0.01694003905194502,0.008443981882882215,0.025867884709526272,0.8372093023255814,6.9909267494949745e-06
primary_bray_same_or_adjacent_visit,109,43,187,0.014710955273297015,0.00855832953071247,0.024476246881342534,0.8372093023255814,1.2367064300633501e-05
primary_bray_same_or_adjacent_visit,111,43,189,0.0163337910880387,0.007884738336876362,0.0248490749418466,0.813953488372093,2.4405950171058066e-05
primary_bray_same_or_adjacent_visit,112,43,189,0.015459760248046385,0.0093082004060653,0.025284107710726103,0.8604651162790697,7.5178004408371635e-06
primary_bray_same_or_adjacent_visit,116,43,190,0.0163337910880387,0.008883217153587142,0.024788874887162506,0.813953488372093,1.3776020750810858e-06
primary_bray_same_or_adjacent_visit,117,43,188,0.013833424961831528,0.009237921484654153,0.025423006324506094,0.8372093023255814,1.0014183999373927e-05
primary_bray_same_or_adjacent_visit,124,43,185,0.017963009956253467,0.010304592230775012,0.02668318227007694,0.813953488372093,1.074804390555073e-05
primary_bray_same_or_adjacent_visit,126,43,191,0.014255729061106663,0.008522966791583708,0.025969211609460426,0.8372093023255814,8.683405212650541e-06
primary_bray_same_or_adjacent_visit,139,43,191,0.014255729061106663,0.008218633554285384,0.025683861003855273,0.813953488372093,1.2367064300633501e-05
primary_bray_same_or_adjacent_visit,141,43,185,0.0163337910880387,0.009263659649031378,0.0248490749418466,0.7906976744186046,2.1363686755648814e-05
primary_bray_same_or_adjacent_visit,143,43,188,0.01694003905194502,0.009014199116441676,0.02668318227007694,0.8372093023255814,1.074804390555073e-05
primary_bray_same_or_adjacent_visit,144,43,191,0.01694003905194502,0.009319097412539099,0.025969211609460426,0.813953488372093,8.337742656294722e-07
primary_bray_same_or_adjacent_visit,145,43,189,0.015431957628361095,0.009319097412539099,0.025423006324506094,0.8604651162790697,8.081192163444939e-06
primary_bray_same_or_adjacent_visit,147,43,191,0.013753245923439142,0.0077484334162086985,0.024894419258189235,0.7906976744186046,2.2838141603642725e-05
primary_bray_same_or_adjacent_visit,153,43,191,0.0163337910880387,0.009319097412539099,0.025969211609460426,0.8372093023255814,1.074804390555073e-05
primary_bray_same_or_adjacent_visit,154,43,191,0.016656041126489676,0.008030598812232816,0.02559638354895636,0.8372093023255814,9.32687657950737e-06
primary_bray_same_or_adjacent_visit,159,43,189,0.013371279477006927,0.007798419798812503,0.023939391163437358,0.7906976744186046,3.84812503853027e-05
primary_bray_same_or_adjacent_visit,160,44,193,0.015106876129676625,0.009042469044464284,0.02534672830350696,0.7954545454545454,1.1835957934636099e-05
primary_bray_same_or_adjacent_visit,162,43,190,0.01694003905194502,0.009319097412539099,0.025618229464076867,0.813953488372093,3.3050284855562495e-06
primary_bray_same_or_adjacent_visit,166,44,193,0.015088748258531633,0.00876584067638947,0.02503546102128274,0.7954545454545454,1.2656838748625887e-05
primary_bray_same_or_adjacent_visit,170,43,190,0.01694003905194502,0.009595218669781455,0.026116173800078198,0.8372093023255814,6.9909267494949745e-06
primary_bray_same_or_adjacent_visit,171,43,188,0.01694003905194502,0.00946470859595197,0.025743345739574132,0.813953488372093,8.683405212650541e-06
primary_bray_same_or_adjacent_visit,173,43,189,0.013330941824164007,0.008700273865952617,0.024505680597964236,0.8372093023255814,1.7450706309318775e-05
primary_bray_same_or_adjacent_visit,175,43,183,0.015431957628361095,0.010948176270157817,0.025284107710726103,0.8372093023255814,9.32687657950737e-06
primary_bray_same_or_adjacent_visit,176,43,182,0.01436454590958381,0.009086018643514528,0.02522538633981164,0.813953488372093,1.9977489500888623e-05
primary_bray_same_or_adjacent_visit,177,43,189,0.0163337910880387,0.007884738336876362,0.025900150108113598,0.813953488372093,1.7450706309318775e-05
primary_bray_same_or_adjacent_visit,181,43,190,0.014639140905330444,0.008808062344880352,0.024476246881342534,0.8372093023255814,1.4208856555342209e-05
primary_bray_same_or_adjacent_visit,183,43,189,0.01694003905194502,0.007879932224793537,0.026162683022684013,0.7906976744186046,1.867469836724922e-05
primary_bray_same_or_adjacent_visit,186,43,182,0.01436454590958381,0.009086018643514528,0.025743345739574132,0.8372093023255814,1.4208856555342209e-05
primary_bray_same_or_adjacent_visit,187,43,190,0.015431957628361095,0.009319097412539099,0.02700422384185314,0.8604651162790697,9.32687657950737e-06
primary_bray_same_or_adjacent_visit,190,43,189,0.01666795984143768,0.008416478446878331,0.025618229464076867,0.813953488372093,1.4208856555342209e-05
primary_bray_same_or_adjacent_visit,191,43,183,0.01683693623570337,0.009263659649031378,0.026116173800078198,0.813953488372093,1.2367064300633501e-05
primary_bray_same_or_adjacent_visit,193,43,189,0.017992925893718467,0.009581772794312764,0.026503075135600157,0.8604651162790697,6.038117589923786e-06
primary_bray_same_or_adjacent_visit,195,43,190,0.0135173102460018,0.009319097412539099,0.026116173800078198,0.8372093023255814,1.1531326435942901e-05
primary_bray_same_or_adjacent_visit,196,43,189,0.013293651893899042,0.008700273865952617,0.024788874887162506,0.8372093023255814,1.7450706309318775e-05
primary_bray_same_or_adjacent_visit,197,43,189,0.015213438410964536,0.008808062344880352,0.0252454014035728,0.7906976744186046,1.5221838793877396e-05
primary_bray_same_or_adjacent_visit,198,43,183,0.017992925893718467,0.009263659649031378,0.026273279770802654,0.8372093023255814,6.9909267494949745e-06
primary_bray_same_or_adjacent_visit,301,43,191,0.01500774664716048,0.008831255828807151,0.027640622299633738,0.8372093023255814,1.1531326435942901e-05
primary_bray_same_or_adjacent_visit,302,43,190,0.0135173102460018,0.008883217153587142,0.024788874887162506,0.8372093023255814,1.325845096289413e-05
primary_bray_same_or_adjacent_visit,305,43,190,0.013322737638156876,0.007884738336876362,0.024505680597964236,0.7674418604651163,3.84812503853027e-05
primary_bray_same_or_adjacent_visit,307,43,190,0.017270086532645924,0.008242554891638262,0.026273960214755435,0.813953488372093,1.6301140021823812e-05
primary_bray_same_or_adjacent_visit,308,43,191,0.014255729061106663,0.008522966791583708,0.02559638354895636,0.813953488372093,1.1531326435942901e-05
primary_bray_same_or_adjacent_visit,309,43,190,0.017992925893718467,0.009653592321385615,0.02698725043141917,0.8372093023255814,8.683405212650541e-06
primary_bray_same_or_adjacent_visit,310,43,191,0.0163337910880387,0.008646637264776158,0.0252672473186933,0.8372093023255814,1.2367064300633501e-05
primary_bray_same_or_adjacent_visit,312,43,188,0.013371279477006927,0.008450992335777341,0.024505680597964236,0.7906976744186046,2.2838141603642725e-05
