visit,n_focal_profiles,n_focal_patients,external_profiles_min,external_profiles_q25,external_profiles_median,external_profiles_q75,external_profiles_max,external_patients_min,external_patients_q25,external_patients_median,external_patients_q75,external_patients_max
0,44,44,88,88.0,88.0,88.0,88,45,45.0,45.0,45.0,45
1,44,44,118,118.0,118.0,119.0,119,45,45.0,45.0,45.0,45
2,31,31,78,79.0,79.0,79.0,79,43,43.0,43.0,43.0,43
3,6,6,54,54.0,54.0,54.0,55,33,33.0,33.0,33.0,33
4,19,19,25,26.0,26.0,26.0,26,24,24.0,24.0,24.0,24
5,2,2,30,30.0,30.0,30.0,30,18,18.0,18.0,18.0,18
6,11,11,13,14.0,14.0,14.0,14,12,12.0,12.0,12.0,12
7,2,2,16,16.0,16.0,16.0,16,10,10.0,10.0,10.0,10
8,5,5,12,12.0,12.0,12.0,12,8,8.0,8.0,8.0,8
9,7,7,15,15.0,15.0,15.5,17,6,6.0,6.0,6.0,6
10,6,6,16,16.0,16.0,16.0,17,6,6.0,6.0,6.0,6
11,6,6,15,15.0,15.0,15.0,16,6,6.0,6.0,6.0,6
12,6,6,13,13.0,13.0,13.75,14,5,5.0,5.0,5.0,5
13,4,4,8,8.0,8.0,8.0,8,5,5.0,5.0,5.0,5
