domain,n_patients,mean_relative_abundance,median_relative_abundance,prevalence_nonzero,median_within_patient_absolute_clr_change,median_matched_between_absolute_clr_difference,matched_between_minus_within_stability_gap,ci95_low,ci95_high,directional_proportion_positive,wilcoxon_two_sided_p,fdr_q,stability_rank,dynamism_rank
Secondary Metabolism,44,0.0008251768781787313,0.0003299489983780395,1.0,0.6423686165732352,1.1281541767056347,0.48742308715209837,0.3302859494385936,0.721130718052099,0.8636363636363636,1.6835883798194118e-09,5.892559329367941e-08,1,2
Photosynthesis,44,0.00035858131963385797,0.00020458331580796421,1.0,0.8287228181257702,0.8748570006497998,0.24540987607593268,0.0232361659249134,0.4200294774942489,0.6590909090909091,0.0058244200529316,0.0169878918210505,2,1
Motility and Chemotaxis,44,0.009540975693554107,0.0066809094337557245,1.0,0.5006328771813444,0.704051608328755,0.22483417638796077,0.12550517437852704,0.38122769771801535,0.7954545454545454,9.177141282634693e-05,0.0016059997244610713,3,5
Metabolism of Aromatic Compounds,44,0.00990492920775611,0.008669796997584675,1.0,0.32956522294534407,0.5339266186313368,0.15881613901713038,0.015427753371124453,0.2847604632319554,0.6363636363636364,0.008474303208231504,0.022815431714469432,4,9
"Virulence, Disease and Defense",44,0.013832025773616754,0.0077981617835920095,1.0,0.5323323905878972,0.6840532794046463,0.15061605875716166,0.04968658663244564,0.231157145910883,0.7045454545454546,0.19118215849687203,0.24782872397742672,5,4
"Phages, Prophages, Transposable elements",44,0.0017407677334169,0.0010723891221399453,1.0,0.5456102715153235,0.634471995339414,0.13570696240635605,-0.03192032482461293,0.24384569875842566,0.6136363636363636,0.1576424579131981,0.21221100103699742,6,3
DNA Metabolism,44,0.05934810624603452,0.06144858356705655,1.0,0.18991381868650437,0.2756361887523225,0.11885067183337872,0.06605801928454147,0.14177958678119595,0.7272727272727273,0.000480050115584163,0.002400250577920815,7,20
Transcriptional regulation,44,0.0016133098602312199,0.001557247953499775,1.0,0.2602333108859245,0.356342008376334,0.09811975559406161,0.06081099711372029,0.1669089931163181,0.7272727272727273,0.0012411304725219452,0.0048266185042520095,8,11
Protein Metabolism,44,0.08135676407493078,0.08096077178839621,1.0,0.20254892755681686,0.2869813945206592,0.09401585747792884,0.039564774183839746,0.14508574416531517,0.7954545454545454,0.0002341046953233672,0.0023984858904668727,9,19
Nucleosides and Nucleotides,44,0.037553756306090424,0.03777721029858361,1.0,0.18732671656806943,0.27716729393049405,0.08802790796824989,0.048995226728823726,0.11351624385431958,0.7727272727272727,0.0004567337889511691,0.002400250577920815,10,21
Central metabolism,44,0.0017547162801592607,0.001726839858680212,1.0,0.22435698736238163,0.30734767155457,0.08481256114663094,0.0580859709757493,0.11736213897284431,0.7727272727272727,0.00043445146525300515,0.002400250577920815,11,13
Cell Division and Cell Cycle,44,0.008108153863885045,0.008063521112223332,1.0,0.20277587752587212,0.2898937727806672,0.07773445675118695,0.02736492160549786,0.15357518756371302,0.6818181818181818,0.0016967596310450972,0.00593865870865784,12,17
Arabinose Sensor and transport module,44,1.5149181383624418e-06,0.0,0.26153846153846155,0.14632902173360796,0.19405994516859293,0.07077065329230425,0.035697348247222704,0.0984717550869092,0.7045454545454546,0.03223156923559145,0.06635911313210005,13,27
RNA Metabolism,44,0.040816579440370836,0.04067770235589654,1.0,0.20270036551234039,0.25515463688777834,0.06889317665291222,0.014311611519308834,0.1331157909201691,0.7272727272727273,0.0009417810549621208,0.004120292115459279,14,18
Respiration,44,0.035200176968952064,0.034905140006096874,1.0,0.16405491629549618,0.19909245646776252,0.05355468206609737,0.002835065471697651,0.08410331040036317,0.6363636363636364,0.12283064355676743,0.17912802185361917,15,26
Potassium metabolism,44,0.00939133481873988,0.009394801126433459,1.0,0.13601889207190787,0.1649580778266454,0.051572044032927256,0.01428617869882609,0.08761203104419256,0.6590909090909091,0.015423379307662799,0.0359878850512132,16,31
Nitrogen Metabolism,44,0.010764055012555177,0.010726473300199452,1.0,0.27687576827946647,0.29851870125705904,0.04587461906558943,-0.00839373211055705,0.08415700242426971,0.5909090909090909,0.07894009283631931,0.13156682139386552,17,10
Phosphorus Metabolism,44,0.013791163068267793,0.013954286146498613,1.0,0.17952977053839192,0.2157150692883968,0.043878331071832255,0.004948720836893416,0.06733840352029663,0.6818181818181818,0.03634091116828131,0.07066288282721365,18,22
"Fatty Acids, Lipids, and Isoprenoids",44,0.02963903459386668,0.02993173623710806,1.0,0.14133797272727033,0.1681467335572357,0.043576929292810596,0.015787369904129323,0.0679930917911149,0.7272727272727273,0.0036284181829842055,0.011544966945858836,19,28
Clustering-based subsystems,44,0.06028300992106848,0.06047817107286621,1.0,0.11412724108913586,0.15574619328837197,0.04291659615573207,0.03236337281601598,0.07642898728753145,0.7954545454545454,0.000274112673196214,0.0023984858904668727,20,35
"Cofactors, Vitamins, Prosthetic Groups, Pigments",44,0.06942972743578447,0.06957246512107661,1.0,0.13783205748026628,0.18038784362406518,0.03907730214424071,0.006840863328653857,0.06651834889276637,0.6590909090909091,0.01823053138434716,0.03987928740325941,21,30
Iron acquisition and metabolism,44,0.020740170602365875,0.017010920183706296,1.0,0.371837959442059,0.38544301877652887,0.03549091364480789,-0.03919736233990251,0.12654259104996676,0.5909090909090909,0.11718801563745274,0.17832958901351503,22,7
Plant cell walls and outer surfaces,44,4.1606901038882504e-06,0.0,0.2153846153846154,0.171426638265884,0.19052771775039035,0.03475663544874119,-0.02482308954630552,0.07215618925383827,0.5454545454545454,0.9861753681161645,0.9861753681161645,23,23
Carbohydrates,44,0.12446018379611501,0.12403868316993379,1.0,0.1695443055513952,0.2166188360405895,0.033601685762181754,0.0030519950155043496,0.07226547963920449,0.6590909090909091,0.038554020363903874,0.07102056382824398,24,24
Cell Wall and Capsule,44,0.05168866084833054,0.048998595114295135,1.0,0.20396107032345678,0.22733654276193044,0.032167626805363836,-0.0005999294165742186,0.07071271572789256,0.6363636363636364,0.05136492735891807,0.08988862287810662,25,16
Dormancy and Sporulation,44,0.0017632995606629447,0.0014482483482892326,1.0,0.36040646928758147,0.3527275872160839,0.029304259771955832,-0.04397320854261255,0.09462439029299001,0.5681818181818182,0.48391010439775073,0.5645617884640425,26,8
Stress Response,44,0.043098329178506756,0.04363254771649954,1.0,0.13551515759383914,0.1455272067763861,0.026625016234736787,-0.0062372344853929285,0.0529910537958978,0.6363636363636364,0.012996403585248117,0.032491008963120294,27,32
Predictions based on plant-prokaryote comparative analysis,44,0.003862578841429938,0.003756012574629154,1.0,0.23150016079973157,0.2728320592236856,0.024070525651900376,-0.06740663598041308,0.08082788518842787,0.5454545454545454,0.6150179039250361,0.6522917162841292,28,12
Membrane Transport,44,0.04784567915800871,0.046577754888214196,1.0,0.1680209215213958,0.18649447393855334,0.021006796637186076,-0.009021483550756604,0.05910528982823715,0.5681818181818182,0.15420405845509322,0.21221100103699742,29,25
